UF;Título;URL;Município;Esfera;Poder;Solução
AL;Alagoas em dados e informações;http://dados.al.gov.br/;;Estadual;Executivo;CKAN
CE;Fortaleza Dados Abertos;http://dados.fortaleza.ce.gov.br/;Fortaleza;Municipal;Executivo;CKAN
CE;Dados abertos – TCM-CE;http://api.tcm.ce.gov.br/;;Estadual;Legislativo;Interna
CE;Dados Abertos – Cerará Transparente;https://cearatransparente.ce.gov.br/portal-da-transparencia/dados-abertos/conjuntos-de-dados?locale=pt-BR;;Estadual;Executivo;Interna
DF;Dados abertos Distrito Federal;http://dados.df.gov.br/;;Estadual;Executivo;CKAN
DF;Portal de Dados Abertos da Câmara Legislativa do Distrito Federal;http://dadosabertos.cl.df.gov.br/;;Estadual;Legislativo;Interna
ES;Dados abertos – Governo do ES;https://transparencia.es.gov.br/DadosAbertos/BaseDeDados#;;Estadual;Executivo;Interna
GO;Dados abertos – Goiás Transparente;http://www.transparencia.go.gov.br/portaldatransparencia/institucional/dados-abertos;;Estadual;Executivo;Interna
GO;Transparência Anápois – Dados Abertos;http://www.transparencia.anapolis.go.gov.br/transparencia/dadosAbertos.jsf;Anápolis;Municipal;Executivo;Interna
MG;Dados abertos – Assembleia de Minas;http://dadosabertos.almg.gov.br/ws/ajuda/sobre;;Estadual;Legislativo;Interna
MG;Dados abertos – Estado de MG;http://www.transparencia.mg.gov.br/dados-abertos;;Estadual;Executivo;CKAN
MG;Câmara de Itabira – Dados Abertos;http://www.itabira.cam.mg.gov.br/dados-abertos;Itabira;Municipal;Legislativo;Interna
MG;Dados Abertos – TCEMG;https://dadosabertos.tce.mg.gov.br/;;Estadual;Legislativo;Interna
MG;Portal de Dados Abertos – Prefeitura de Belo Horizonte;https://dados.pbh.gov.br/;Belo Horizonte;Municipal;Executivo;CKAN
MT;Download de Bases – TRANSPARÊNCIA;http://www.transparencia.mt.gov.br/downloads-de-bases;;Estadual;Executivo;Interna
PB;Dados abertos do SAGRES – TCE/PB;http://portal.tce.pb.gov.br/dados-abertos-do-sagres-tcepb/;;Estadual;Legislativo;Interna
PB;Dados PB;http://dados.pb.gov.br;;Estadual;Executivo;Interna
PE;Dados abertos – Governo de Pernambuco;http://www.dadosabertos.pe.gov.br/;;Estadual;Executivo;Interna
PE;Dados Recife;http://dados.recife.pe.gov.br;Recife;Municipal;Executivo;CKAN
PE;Dados Abertos – Portal da Transparência de Pernambuco;http://web.transparencia.pe.gov.br/dados-abertos/;;Estadual;Executivo;CKAN
PE;Dados Abertos – Tribunal de Contas do Estado de Pernambuco;https://www.tce.pe.gov.br/internet/index.php/dados-abertos;;Estadual;Legislativo;Interna
PR;Dados Abertos Curitiba;http://www.curitiba.pr.gov.br/dadosabertos/;Curitiba;Municipal;Executivo;Interna
RJ;data.rio;http://data.rio/;Rio de Janeiro;Municipal;Executivo;CKAN
RJ;Dados Geográficos Abertos da Cidade do Rio de Janeiro;http://portalgeo.pcrj.opendata.arcgis.com/;Rio de Janeiro;Municipal;Executivo;ArcGIS
RN;Portal dos Dados Abertos TCE/RN;http://apidadosabertos.tce.rn.gov.br/;;Estadual;Legislativo;Interna
RN;Portal da Transparência e Mobilidade Urbana de Natal;http://dados.natal.br/;Natal;Municipal;Executivo;CKAN
RS;Dados RS;http://dados.rs.gov.br/;;Estadual;Executivo;CKAN
RS;Dados abertos Novo Hamburgo;http://dados.novohamburgo.rs.gov.br/;Novo Hamburgo;Municipal;Executivo;CKAN
RS;DataPOA;http://www.datapoa.com.br/;Porto Alegre;Municipal;Executivo;CKAN
RS;Dados Abertos TCE-RS;http://dados.tce.rs.gov.br/;;Estadual;Legislativo;CKAN
RS;Dados Abertos MPRS;http://dados.mprs.mp.br/;;Estadual;;Interna
SP;Governo Aberto SP;http://www.governoaberto.sp.gov.br/;;Estadual;Executivo;CKAN
SP;Programa de Dados Abertos do Parlamento;http://www.camara.sp.gov.br/transparencia/dados-abertos/;São Paulo;Municipal;Legislativo;Interna
SP;Portal da Transparência Municipal;http://transparencia.tce.sp.gov.br/;;Municipal;Legislativo;Interna
SP;Portal de Dados Abertos da Cidade de São Paulo;http://dados.prefeitura.sp.gov.br/;São Paulo;Municipal;Executivo;CKAN
SP;Portal dos Dados Abertos da Alesp – al.sp.gov.br;https://www.al.sp.gov.br/dados-abertos/;;Estadual;Legislativo;Interna
SP;Portal da Transparência – Dados Abertos;http://transparencia.campinas.sp.gov.br/;Campinas;Municipal;Executivo;Interna
;Dados Abertos Legislativos – Senado Federal;http://dadosabertos.senado.gov.br/;;Federal;Legislativo;Interna
;Dados abertos da Câmara dos Deputados;https://dadosabertos.camara.leg.br/;;Federal;Legislativo;Interna
